ID_Contacto;,Numero;,Nombre;,Apellido;,Correo;,Categoria;
1;,555878;,Carlos;,Fernandez;,Carlos.Fernandez@gmail.com;,Trabajo;
2;,5551234;,Laura;,Gomez;,laura.gomez@gmail.com;,Trabajo;
3;,5554812;,Agustin;,Rapiman;,Arapiman@gmail.com;,Amigos
4;,5554812;,Pedro;,Martinez;,Pmartinez@gmail.com;,Trabajo;
5;,5558452;,Lisandro;,Arroyo;,LichaArroyo@gmail.com;,Familia;
6;,5558462;,Raul;,Blanco;,Rblanco@gmail.com;,Trabajo;
7;,5558497;,Pedro;,Perez;,Pperez@gmail.com;,Amigos;
8;,5558765;,Sofia;,Rodriguez;,SR@gmail.com;,Trabajo;
9;,5559563;,Martina;,Bobadilla;,MB@Gmail.com;,Familia;
567;,124124;,SACHA;,SALESI;,SALCVKISCV;,ACASCAS;
